Resolution,ChrNr,Sample1,Sample2,Q
40000,16,HFFc6_BR1,HFFc6_BR3,0.925763145384282
40000,16,HFFc6_BR1,H1-hESC_BR1,0.8359325594707941
40000,16,HFFc6_BR1,H1-hESC_BR2,0.8964678982053879
40000,16,HFFc6_BR2,HFFc6_BR3,0.9217979828001528
40000,16,HFFc6_BR2,H1-hESC_BR1,0.9317533562089259
40000,16,HFFc6_BR2,H1-hESC_BR2,0.9282963695940207
40000,16,HFFc6_BR3,H1-hESC_BR1,0.8964105854121652
40000,16,HFFc6_BR3,H1-hESC_BR2,0.917131432612394
40000,16,H1-hESC_BR1,H1-hESC_BR2,0.9865353992421556
40000,17,G401_BR1,G401_BR2,0.9742787917293718
40000,17,G401_BR1,A549_BR1,0.871161320073379
40000,17,G401_BR1,A549_BR2,0.6122214077260546
40000,17,G401_BR1,LNCap_BR1,-0.21607072406152417
40000,17,G401_BR1,LNCap_BR2,-0.30750659044469286
40000,17,G401_BR1,HFFc6_BR1,0.6679655083679922
40000,17,G401_BR1,HFFc6_BR2,0.6167118537675156
40000,17,G401_BR1,HFFc6_BR3,0.8189109459055417
40000,17,G401_BR1,H1-hESC_BR1,0.8344049703851764
40000,17,G401_BR1,H1-hESC_BR2,0.8656122477550963
40000,17,G401_BR2,A549_BR1,0.8742140270818356
40000,17,G401_BR2,A549_BR2,0.6116548155687745
40000,17,G401_BR2,LNCap_BR1,-0.20372163947957075
40000,17,G401_BR2,LNCap_BR2,-0.28838031526005253
40000,17,G401_BR2,HFFc6_BR1,0.6810489109958813
40000,17,G401_BR2,HFFc6_BR2,0.599239784540621
40000,17,G401_BR2,HFFc6_BR3,0.8303724283115169
40000,17,G401_BR2,H1-hESC_BR1,0.8173719435650693
40000,17,G401_BR2,H1-hESC_BR2,0.8522731032203775
40000,17,A549_BR1,A549_BR2,0.8759242391088105
40000,17,A549_BR1,LNCap_BR1,0.1608362028131598
40000,17,A549_BR1,LNCap_BR2,0.05373042239328313
40000,17,A549_BR1,HFFc6_BR1,0.7923594545775419
40000,17,A549_BR1,HFFc6_BR2,0.7418612748359102
40000,17,A549_BR1,HFFc6_BR3,0.8229974497804476
40000,17,A549_BR1,H1-hESC_BR1,0.7505321556525743
40000,17,A549_BR1,H1-hESC_BR2,0.7792779247310284
40000,17,A549_BR2,LNCap_BR1,0.5726636430643843
40000,17,A549_BR2,LNCap_BR2,0.49916800932465455
40000,17,A549_BR2,HFFc6_BR1,0.7784999222174
40000,17,A549_BR2,HFFc6_BR2,0.7849862778213976
40000,17,A549_BR2,HFFc6_BR3,0.6984459300561863
40000,17,A549_BR2,H1-hESC_BR1,0.44537274503361257
40000,17,A549_BR2,H1-hESC_BR2,0.47989070943417556
40000,17,LNCap_BR1,LNCap_BR2,0.9817716305588865
40000,17,LNCap_BR1,HFFc6_BR1,0.315748631952043
40000,17,LNCap_BR1,HFFc6_BR2,0.34936358107102733
40000,17,LNCap_BR1,HFFc6_BR3,0.04830895674803337
40000,17,LNCap_BR1,H1-hESC_BR1,-0.3589124832137166
40000,17,LNCap_BR1,H1-hESC_BR2,-0.324305173441061
40000,17,LNCap_BR2,HFFc6_BR1,0.2424518648738103
40000,17,LNCap_BR2,HFFc6_BR2,0.2849878004675918
40000,17,LNCap_BR2,HFFc6_BR3,-0.020752934886806452
40000,17,LNCap_BR2,H1-hESC_BR1,-0.4540472062786373
40000,17,LNCap_BR2,H1-hESC_BR2,-0.4210680427061539
40000,17,HFFc6_BR1,HFFc6_BR2,0.9194526092614765
40000,17,HFFc6_BR1,HFFc6_BR3,0.9168279892628464
40000,17,HFFc6_BR1,H1-hESC_BR1,0.656304031525679
40000,17,HFFc6_BR1,H1-hESC_BR2,0.69019506859323
40000,17,HFFc6_BR2,HFFc6_BR3,0.8886855711884184
40000,17,HFFc6_BR2,H1-hESC_BR1,0.6015485318649123
40000,17,HFFc6_BR2,H1-hESC_BR2,0.621286696559884
40000,17,HFFc6_BR3,H1-hESC_BR1,0.7588551589976497
40000,17,HFFc6_BR3,H1-hESC_BR2,0.7906328506744807
40000,17,H1-hESC_BR1,H1-hESC_BR2,0.9931777887530365
40000,18,G401_BR1,G401_BR2,0.9876585144662201
40000,18,G401_BR1,A549_BR1,0.5404168004342412
40000,18,G401_BR1,A549_BR2,0.43822616781587187
40000,18,G401_BR1,LNCap_BR1,0.2933246153438847
40000,18,G401_BR1,LNCap_BR2,0.27359823113009235
40000,18,G401_BR1,HFFc6_BR1,0.13156202437686193
40000,18,G401_BR1,HFFc6_BR2,0.3705970722520116
40000,18,G401_BR1,HFFc6_BR3,0.3082194543255612
40000,18,G401_BR1,H1-hESC_BR1,0.5649684388190698
40000,18,G401_BR1,H1-hESC_BR2,0.5769084976020321
40000,18,G401_BR2,A549_BR1,0.46165153542656734
40000,18,G401_BR2,A549_BR2,0.35592433890400677
40000,18,G401_BR2,LNCap_BR1,0.283440234594757
40000,18,G401_BR2,LNCap_BR2,0.29145283189871524
40000,18,G401_BR2,HFFc6_BR1,0.18433383879035165
40000,18,G401_BR2,HFFc6_BR2,0.36238428073849555
40000,18,G401_BR2,HFFc6_BR3,0.36189032367594925
40000,18,G401_BR2,H1-hESC_BR1,0.5417146350434263
40000,18,G401_BR2,H1-hESC_BR2,0.5756352867519392
40000,18,A549_BR1,A549_BR2,0.9650927369051473
40000,18,A549_BR1,LNCap_BR1,0.6610318815895919
40000,18,A549_BR1,LNCap_BR2,0.4915239840017825
40000,18,A549_BR1,HFFc6_BR1,-0.15193986898007023
40000,18,A549_BR1,HFFc6_BR2,0.40472986920925097
40000,18,A549_BR1,HFFc6_BR3,0.21259209088081782
40000,18,A549_BR1,H1-hESC_BR1,0.40495956697402324
40000,18,A549_BR1,H1-hESC_BR2,0.3405373333161467
40000,18,A549_BR2,LNCap_BR1,0.6249247515899676
40000,18,A549_BR2,LNCap_BR2,0.5013669343788059
40000,18,A549_BR2,HFFc6_BR1,-0.15726189619605016
40000,18,A549_BR2,HFFc6_BR2,0.33317756864673576
40000,18,A549_BR2,HFFc6_BR3,0.13325226919136654
40000,18,A549_BR2,H1-hESC_BR1,0.28718584298414884
40000,18,A549_BR2,H1-hESC_BR2,0.22456103920106177
40000,18,LNCap_BR1,LNCap_BR2,0.8625721204163986
