Resolution	ChrNr	Sample1	Sample2	Q
25000	22	ODC_CTL_BR3	ODC_CTL_BR1	0.9802143609420493
25000	22	ODC_CTL_BR3	ODC_AD_BR3	0.9141606998878106
25000	22	ODC_CTL_BR3	ODC_AD_BR4	0.9702292940397318
25000	22	ODC_CTL_BR3	ODC_CTL_BR4	0.9698769377003053
25000	22	ODC_CTL_BR3	ODC_CTL_BR2	0.9706643546903413
25000	22	ODC_CTL_BR3	ODC_AD_BR2	0.9767753305316076
25000	22	ODC_AD_BR1	ODC_CTL_BR1	0.9647762995725742
25000	22	ODC_AD_BR1	ODC_AD_BR3	0.9316406997227473
25000	22	ODC_AD_BR1	ODC_AD_BR4	0.9816597305082784
25000	22	ODC_AD_BR1	ODC_CTL_BR4	0.9416244686484047
25000	22	ODC_AD_BR1	ODC_CTL_BR2	0.9590206809766507
25000	22	ODC_AD_BR1	ODC_AD_BR2	0.9789318708309175
25000	22	ODC_CTL_BR1	ODC_AD_BR3	0.9489659310454778
25000	22	ODC_CTL_BR1	ODC_AD_BR4	0.9608874212447786
25000	22	ODC_CTL_BR1	ODC_CTL_BR4	0.949352384706233
25000	22	ODC_CTL_BR1	ODC_CTL_BR2	0.9399335781947276
25000	22	ODC_CTL_BR1	ODC_AD_BR2	0.9680192277806837
25000	22	ODC_AD_BR3	ODC_AD_BR4	0.9233343895669044
25000	22	ODC_AD_BR3	ODC_CTL_BR4	0.8577731115681722
25000	22	ODC_AD_BR3	ODC_CTL_BR2	0.8711807977449266
25000	22	ODC_AD_BR3	ODC_AD_BR2	0.9200684941958501
25000	22	ODC_AD_BR4	ODC_CTL_BR4	0.9600623159064534
25000	22	ODC_AD_BR4	ODC_CTL_BR2	0.9556819260651733
25000	22	ODC_AD_BR4	ODC_AD_BR2	0.9822266456888264
25000	22	ODC_CTL_BR4	ODC_CTL_BR2	0.9753074447492779
25000	22	ODC_CTL_BR4	ODC_AD_BR2	0.9544086684587726
25000	22	ODC_CTL_BR2	ODC_AD_BR2	0.9532643629045939
