Resolution	ChrNr	START	END	meanS_Euclidean
40000	10	110800000	123960000	1.4177047643438019
40000	X	82840000	97920000	1.4170310605405423
40000	2	160920000	184920000	1.4165872115993399
40000	10	111280000	124440000	1.4156093963018979
40000	10	111040000	124200000	1.4155099973921688
40000	18	36960000	44480000	1.4154190739671473
40000	18	6520000	14040000	1.4153048771382581
40000	8	64440000	78800000	1.4149753662441686
40000	12	27120000	40480000	1.413480338583792
40000	6	13800000	30720000	1.4117151804673098
40000	X	28920000	44160000	1.410909262947877
40000	6	51040000	69640000	1.4108909543568515
40000	12	102520000	115840000	1.4101926833703597
40000	20	36760000	42960000	1.4097380750554551
40000	6	38320000	55200000	1.4095518510903782
40000	10	112240000	125400000	1.4091033846022096
40000	8	65400000	79760000	1.4078869397452551
40000	14	72240000	81120000	1.4035768710015983
40000	14	72000000	80880000	1.402461202410721
40000	12	29760000	43120000	1.4009850997514945
40000	14	64800000	73680000	1.400673343326665
40000	6	115400000	132280000	1.3998597629151206
40000	8	98800000	113160000	1.3998155322397263
40000	10	35320000	50520000	1.3998103717486707
40000	18	26640000	34160000	1.3978418205605687
40000	8	64680000	79040000	1.3973845613769553
40000	12	30000000	43360000	1.3972887075506408
40000	X	46120000	65400000	1.3937822108643454
40000	14	94320000	103200000	1.3926395572539816
40000	18	60720000	68240000	1.3905922925149363
40000	4	38520000	59400000	1.3902241913721334
40000	4	35400000	56240000	1.3896431164142216
40000	X	38200000	53600000	1.38584163185499
40000	2	163320000	187320000	1.3855553204984268
40000	X	86440000	101520000	1.3848574835287861
40000	10	36040000	51240000	1.3844479637891836
40000	12	117880000	131200000	1.3815564579322952
40000	X	45880000	65160000	1.3815032293387361
40000	X	50960000	69960000	1.3809781647284645
40000	18	60240000	67760000	1.3807766144146132
40000	12	30720000	44080000	1.3800850804171825
40000	2	160440000	184440000	1.3796754261660968
40000	10	31960000	47080000	1.3795277206940673
40000	8	98560000	112920000	1.3789213222833816
40000	6	19320000	36240000	1.378876221099218
40000	18	60000000	67520000	1.3779825929011125
40000	10	115120000	128280000	1.3777481194627192
40000	18	40800000	48320000	1.3775655377023883
40000	6	115880000	132760000	1.3758512928374371
40000	20	25480000	33840000	1.3748336653054813
40000	6	20040000	36960000	1.3748251149521076
40000	10	112720000	125880000	1.3746423520376503
40000	14	43680000	52560000	1.3746411021186251
40000	8	99040000	113400000	1.3746145079980685
40000	10	32200000	47320000	1.3745152784096633
40000	14	65040000	73920000	1.3741836816484942
40000	X	99640000	114800000	1.374075961472034
40000	6	19560000	36480000	1.373792242313734
40000	X	76360000	91440000	1.3729826161986853
40000	6	19800000	36720000	1.3715553077446447
40000	8	64920000	79280000	1.3715288776123267
40000	X	50720000	69720000	1.3713102687504743
40000	6	60200000	77080000	1.370650882597035
40000	12	26880000	40240000	1.3691204642641317
40000	10	80800000	93960000	1.369018861378122
40000	20	22600000	30920000	1.3676554647938781
40000	18	50880000	58400000	1.367450620095675
40000	2	161160000	185160000	1.3673240309618773
40000	10	34360000	49560000	1.3653175771306414
40000	6	115160000	132040000	1.3648044522610343
40000	10	32440000	47560000	1.364750580364629
40000	10	35800000	51000000	1.3647109180932768
40000	X	83800000	98880000	1.3636188416992912
40000	6	33280000	50160000	1.3629856086762018
40000	X	99160000	114320000	1.3629111170307266
40000	14	24240000	33120000	1.3626834056097559
40000	22	32960000	36560000	1.3624960254665635
40000	X	54120000	73200000	1.3612031217815839
40000	10	34600000	49800000	1.3587269381082157
40000	18	11800000	24320000	1.3587138616679217
40000	10	112480000	125640000	1.3584548792181852
40000	6	60920000	77800000	1.3584327940269414
40000	10	31000000	46120000	1.357744991029924
40000	10	34120000	49320000	1.35768686380447
40000	10	75760000	88920000	1.3574561895451858
40000	10	110560000	123720000	1.3571969832506114
40000	X	83080000	98160000	1.355622955485619
40000	X	37720000	53120000	1.3545544355227286
40000	X	28680000	43920000	1.35401234165849
40000	10	35080000	50280000	1.3527874672605495
40000	4	88120000	106920000	1.3518311645614343
40000	X	117120000	132280000	1.3491191149327293
40000	2	163080000	187080000	1.3491021440646556
40000	10	33880000	49080000	1.3483486216522544
40000	6	60680000	77560000	1.3471095861215658
40000	12	37480000	50800000	1.345007936427235
40000	X	54600000	73680000	1.3449243230914147
40000	8	14520000	28880000	1.3448144586062323
40000	X	77800000	92880000	1.3430973579396943
40000	8	99280000	113640000	1.342849914157081
40000	6	50800000	69400000	1.342463159678348
40000	10	34840000	50040000	1.3417813872261082
40000	12	37720000	51040000	1.3410264740353819
40000	6	60440000	77320000	1.3410181789568352
40000	20	22360000	30680000	1.3410074791980353
40000	8	106720000	121080000	1.3403084146742528
40000	X	37080000	52600000	1.3398750959956895
40000	8	115360000	129720000	1.3396870916798147
40000	2	213720000	237720000	1.3374983114791987
40000	4	38760000	59640000	1.3344256104972727
40000	2	169800000	193800000	1.334211778445826
40000	18	6280000	13800000	1.3327374376766563
40000	12	3600000	16920000	1.3327155710313205
40000	X	50480000	69480000	1.3322352521481824
40000	10	30760000	45880000	1.3320471784873014
40000	10	31240000	46360000	1.3319345088987646
40000	X	54360000	73440000	1.3318329358415497
40000	10	33640000	48840000	1.3306236496434491
40000	6	61160000	78040000	1.3303170810400762
40000	20	54040000	60240000	1.3300240158787293
40000	12	26640000	40000000	1.3286091118673633
40000	4	88360000	107160000	1.3268796563770946
40000	8	400000	14960000	1.326452070679187
40000	12	52360000	65680000	1.3262785463521267
40000	4	88600000	107400000	1.3251436986005816
40000	12	31200000	44560000	1.324842355311674
40000	14	84480000	93360000	1.32425056693345
40000	10	31720000	46840000	1.3235161023977962
40000	8	110800000	125160000	1.3228148104641975
40000	2	161640000	185640000	1.3227508713897882
40000	12	3360000	16680000	1.3216124847916078
40000	X	86680000	101760000	1.3209686028015668
40000	X	52400000	71400000	1.320851234668129
40000	8	12080000	26480000	1.3192967436783023
40000	6	99560000	116440000	1.319290960090222
40000	X	116880000	132040000	1.3185317280645659
40000	X	53880000	72920000	1.31825781793345
40000	6	62360000	79240000	1.3182548904183669
40000	18	60480000	68000000	1.3166596429406228
40000	8	114640000	129000000	1.3152048003332364
40000	2	161880000	185880000	1.3138095352291754
40000	6	13560000	30480000	1.3131104042279107
40000	14	23760000	32640000	1.3122493098089028
40000	10	101680000	114840000	1.3112381376797966
40000	X	76600000	91680000	1.3109722867487905
40000	4	87880000	106680000	1.3107466334855982
40000	10	103600000	116760000	1.3104214278827089
40000	12	30960000	44320000	1.3099898225010553
40000	6	61400000	78280000	1.3090359232961328
40000	8	65640000	80000000	1.3089751229515434
40000	18	46320000	53840000	1.3089685863761453
40000	X	83320000	98400000	1.3089122424037856
40000	2	161400000	185400000	1.3088541178218585
40000	10	30520000	45640000	1.3073688482091685
40000	10	31480000	46600000	1.305168772326581
40000	14	86160000	95040000	1.3050220585054686
40000	18	36000000	43520000	1.3037762061043676
40000	X	35640000	51160000	1.3034030729910697
40000	2	160200000	184200000	1.3027194545253098
40000	8	115600000	129960000	1.3025021032889337
40000	12	52120000	65440000	1.302239683163065
40000	6	114920000	131800000	1.3022219397527752
40000	X	74680000	89760000	1.3004203142910848
40000	6	20280000	37200000	1.2992541990916855
40000	6	50560000	69160000	1.297722516625391
40000	X	86920000	102000000	1.2968650589472281
40000	12	52600000	65920000	1.2964195985309954
40000	10	33400000	48600000	1.2958892261908401
40000	X	106920000	122200000	1.2951053240606074
40000	X	54840000	73920000	1.2935124398234763
40000	X	106680000	121960000	1.2931910690649884
40000	20	37000000	43200000	1.2917879998931574
40000	6	116120000	133000000	1.2915160195454014
40000	6	114440000	131320000	1.2908472108940068
40000	10	110320000	123480000	1.2907331747129422
40000	X	35160000	50680000	1.290191594200212
40000	X	38440000	53840000	1.2887555042807275
40000	8	99520000	113880000	1.2885871416670154
40000	8	98320000	112680000	1.2865420331928035
40000	6	38560000	55440000	1.2863828118246643
40000	X	37480000	52880000	1.2851344144103023
40000	18	6760000	14280000	1.2848178677842312
40000	18	59280000	66800000	1.2844705558604568
40000	18	9880000	22400000	1.2842925691244178
40000	X	83560000	98640000	1.2837379163080547
40000	18	46560000	54080000	1.2836966022931768
40000	X	45640000	64920000	1.2825957929438323
40000	4	35160000	56000000	1.2814335596164173
40000	8	114880000	129240000	1.2814309242272668
40000	8	130000000	144360000	1.2802670970955796
40000	6	99320000	116200000	1.2800804725599917
40000	6	99800000	116680000	1.279752244174562
40000	X	106200000	121480000	1.2792380991414163
40000	X	116400000	131560000	1.2790905750859527
40000	X	46360000	65640000	1.2785604178261136
40000	12	35800000	49120000	1.2777277794750557
40000	6	62600000	79480000	1.27733026780219
40000	10	115360000	128520000	1.2764440926264438
40000	14	45600000	54480000	1.2751945961990017
40000	X	117360000	132520000	1.272161720830284
40000	20	15160000	21360000	1.2720318728142441
40000	18	44160000	51680000	1.2716990977091953
40000	4	88840000	107640000	1.2716988290127855
40000	X	50200000	69240000	1.2713811634853747
40000	X	106440000	121720000	1.2712513491090467
40000	20	35800000	42000000	1.270134500813511
40000	6	61640000	78520000	1.2700885407578915
40000	X	74440000	89520000	1.2699634356555263
40000	6	114680000	131560000	1.2689099740649696
40000	20	22840000	31200000	1.2688963558533837
40000	X	99880000	115040000	1.2682372979881744
40000	10	103840000	117000000	1.2662669284257675
40000	12	51880000	65200000	1.2659616341644335
40000	2	162840000	186840000	1.2654744189100835
40000	12	3120000	16440000	1.2650297709782226
40000	X	36840000	52360000	1.264657437428527
40000	6	33040000	49920000	1.2645767622443833
40000	12	37960000	51280000	1.2645011337424552
40000	X	98920000	114080000	1.2642500401334638
40000	14	64560000	73440000	1.2632979935505209
40000	12	102760000	116080000	1.2597873260737817
40000	X	45400000	64680000	1.2597666652710287
40000	14	94560000	103440000	1.2589010099279987
40000	18	46080000	53600000	1.2586581591440724
40000	12	117640000	130960000	1.2577312805674679
40000	20	53800000	60000000	1.2569471271390753
40000	X	76120000	91200000	1.2544134393718676
40000	X	76840000	91920000	1.2542049267181843
40000	10	36280000	51480000	1.2526161053507032
40000	X	55080000	74160000	1.2523092081243252
40000	10	110080000	123240000	1.2520230460934376
40000	6	62120000	79000000	1.251972014734142
40000	14	72480000	81360000	1.2517420870973737
40000	8	64200000	78560000	1.251227705983993
40000	12	99160000	112480000	1.2511831263560131
40000	12	2880000	16200000	1.24942240536774
40000	12	35560000	48880000	1.2487060891698565
40000	12	103240000	116560000	1.2477597009906012
40000	X	116640000	131800000	1.2466615211763605
