Resolution	ChrNr	Sample1	Sample2	Q
40000	4	A549_BR2	LNCap_BR1	0.6127593851251123
40000	4	HFFc6_BR1	H1-hESC_BR2	0.6376791153690785
40000	4	HFFc6_BR1	A549_BR1	0.49304401206781057
40000	4	HFFc6_BR1	HFFc6_BR2	0.6560840007263814
40000	4	HFFc6_BR1	HFFc6_BR3	0.8701559603930592
40000	4	HFFc6_BR1	LNCap_BR2	0.5495881984985073
40000	4	HFFc6_BR1	LNCap_BR1	0.48991359464060624
40000	4	H1-hESC_BR2	A549_BR1	0.34554781324688044
40000	4	H1-hESC_BR2	HFFc6_BR2	0.44686673797213655
40000	4	H1-hESC_BR2	HFFc6_BR3	0.5709155567309179
40000	4	H1-hESC_BR2	LNCap_BR2	0.36458447002311645
40000	4	H1-hESC_BR2	LNCap_BR1	0.25196484988478646
40000	4	A549_BR1	HFFc6_BR2	0.47130483484525376
40000	4	A549_BR1	HFFc6_BR3	0.3898332193481834
40000	4	A549_BR1	LNCap_BR2	0.548837686405985
40000	4	A549_BR1	LNCap_BR1	0.5874798098020967
40000	4	HFFc6_BR2	HFFc6_BR3	0.7581758267095523
40000	4	HFFc6_BR2	LNCap_BR2	0.4275793755877327
40000	4	HFFc6_BR2	LNCap_BR1	0.381061563471347
40000	4	HFFc6_BR3	LNCap_BR2	0.4162390745441508
40000	4	HFFc6_BR3	LNCap_BR1	0.3514345531300027
40000	4	LNCap_BR2	LNCap_BR1	0.96369140936437
40000	6	G401_BR2	G401_BR1	0.9902949917327938
40000	6	G401_BR2	H1-hESC_BR1	0.7388833586691969
40000	6	G401_BR2	A549_BR2	0.7726419154527038
40000	6	G401_BR2	HFFc6_BR1	0.518910756084857
40000	6	G401_BR2	H1-hESC_BR2	0.7609792568621535
40000	6	G401_BR2	A549_BR1	0.7423075959149138
40000	6	G401_BR2	HFFc6_BR2	0.6352519985387511
40000	6	G401_BR2	HFFc6_BR3	0.4036599071522594
40000	6	G401_BR2	LNCap_BR2	0.428844872355967
40000	6	G401_BR2	LNCap_BR1	0.4477161180222179
40000	6	G401_BR1	H1-hESC_BR1	0.7417484027750879
40000	6	G401_BR1	A549_BR2	0.7948396346444977
40000	6	G401_BR1	HFFc6_BR1	0.4915038952326427
40000	6	G401_BR1	H1-hESC_BR2	0.7570984657403731
40000	6	G401_BR1	A549_BR1	0.7669814736608619
40000	6	G401_BR1	HFFc6_BR2	0.6127726072520898
40000	6	G401_BR1	HFFc6_BR3	0.34684493790595766
40000	6	G401_BR1	LNCap_BR2	0.4666288120125745
40000	6	G401_BR1	LNCap_BR1	0.48912570550655643
40000	6	H1-hESC_BR1	A549_BR2	0.6650172832556268
40000	6	H1-hESC_BR1	HFFc6_BR1	0.5841948921565434
40000	6	H1-hESC_BR1	H1-hESC_BR2	0.9418549277979007
40000	6	H1-hESC_BR1	A549_BR1	0.667379328719042
40000	6	H1-hESC_BR1	HFFc6_BR2	0.7211986979094756
40000	6	H1-hESC_BR1	HFFc6_BR3	0.40828420819489625
40000	6	H1-hESC_BR1	LNCap_BR2	0.3711946895995469
40000	6	H1-hESC_BR1	LNCap_BR1	0.3654786365430091
40000	6	A549_BR2	HFFc6_BR1	0.2135128014650683
40000	6	A549_BR2	H1-hESC_BR2	0.5707527690273083
40000	6	A549_BR2	A549_BR1	0.9854494999198088
40000	6	A549_BR2	HFFc6_BR2	0.5985878354883792
40000	6	A549_BR2	HFFc6_BR3	0.10092415619287817
40000	6	A549_BR2	LNCap_BR2	0.6756472483763435
40000	6	A549_BR2	LNCap_BR1	0.6995077442864696
40000	6	HFFc6_BR1	H1-hESC_BR2	0.729792202301583
40000	6	HFFc6_BR1	A549_BR1	0.16690277317531188
40000	6	HFFc6_BR1	HFFc6_BR2	0.5914582906951674
40000	6	HFFc6_BR1	HFFc6_BR3	0.8742214211318267
40000	6	HFFc6_BR1	LNCap_BR2	-0.10513343105569928
40000	6	HFFc6_BR1	LNCap_BR1	-0.12623056411762154
40000	6	H1-hESC_BR2	A549_BR1	0.5552382872774968
40000	6	H1-hESC_BR2	HFFc6_BR2	0.6716195054402547
40000	6	H1-hESC_BR2	HFFc6_BR3	0.549024655323535
40000	6	H1-hESC_BR2	LNCap_BR2	0.2592832528494292
40000	6	H1-hESC_BR2	LNCap_BR1	0.24923393451722636
40000	6	A549_BR1	HFFc6_BR2	0.5951343177567083
